\texttrademark{}	™
\textregistered{}	®
\copyright{}	©
\"A	Ä
\"E	Ë
\"H	Ḧ
\"I	Ï
\"O	Ö
\"U	Ü
\"W	Ẅ
\"X	Ẍ
\"Y	Ÿ
\"a	ä
\"e	ë
\"h	ḧ
\"i	ï
\"o	ö
\"t	ẗ
\"u	ü
\"w	ẅ
\"x	ẍ
\"y	ÿ
\"{A}	Ä
\"{E}	Ë
\"{H}	Ḧ
\"{I}	Ï
\"{O}	Ö
\"{U}	Ü
\"{W}	Ẅ
\"{X}	Ẍ
\"{Y}	Ÿ
\"{a}	ä
\"{e}	ë
\"{h}	ḧ
\"{i}	ï
\"{o}	ö
\"{t}	ẗ
\"{u}	ü
\"{w}	ẅ
\"{x}	ẍ
\"{y}	ÿ
\'A	Á
\'C	Ć
\'E	É
\'G	Ǵ
\'I	Í
\'K	Ḱ
\'L	Ĺ
\'M	Ḿ
\'N	Ń
\'O	Ó
\'P	Ṕ
\'R	Ŕ
\'S	Ś
\'U	Ú
\'W	Ẃ
\'Y	Ý
\'Z	Ź
\'a	á
\'c	ć
\'e	é
\'g	ǵ
\'i	í
\'k	ḱ
\'l	ĺ
\'m	ḿ
\'n	ń
\'o	ó
\'p	ṕ
\'r	ŕ
\'s	ś
\'u	ú
\'w	ẃ
\'y	ý
\'z	ź
\'{A}	Á
\'{C}	Ć
\'{E}	É
\'{G}	Ǵ
\'{I}	Í
\'{K}	Ḱ
\'{L}	Ĺ
\'{M}	Ḿ
\'{N}	Ǹ
\'{O}	Ó
\'{P}	Ṕ
\'{R}	Ŕ
\'{S}	Ś
\'{U}	Ú
\'{W}	Ẃ
\'{Y}	Ý
\'{Z}	Ź
\'{a}	á
\'{c}	ć
\'{e}	é
\'{g}	ǵ
\'{i}	í
\'{k}	ḱ
\'{l}	ĺ
\'{m}	ḿ
\'{n}	ń
\'{o}	ó
\'{p}	ṕ
\'{r}	ŕ
\'{s}	ś
\'{u}	ú
\'{w}	ẃ
\'{y}	ý
\'{z}	ź
\.A	Ȧ
\.B	Ḃ
\.C	Ċ
\.D	Ḋ
\.E	Ė
\.F	Ḟ
\.G	Ġ
\.H	Ḣ
\.I	İ
\.M	Ṁ
\.N	Ṅ
\.O	Ȯ
\.P	Ṗ
\.R	Ṙ
\.S	Ṡ
\.T	Ṫ
\.W	Ẇ
\.X	Ẋ
\.Y	Ẏ
\.Z	Ż
\.a	ȧ
\.b	ḃ
\.c	ċ
\.d	ḋ
\.e	ė
\.f	ḟ
\.g	ġ
\.h	ḣ
\.m	ṁ
\.n	ṅ
\.o	ȯ
\.p	ṗ
\.r	ṙ
\.s	ṡ
\.t	ṫ
\.w	ẇ
\.x	ẋ
\.y	ẏ
\.z	ż
\.{A}	Ȧ
\.{B}	Ḃ
\.{C}	Ċ
\.{D}	Ḋ
\.{E}	Ė
\.{F}	Ḟ
\.{G}	Ġ
\.{H}	Ḣ
\.{I}	İ
\.{M}	Ṁ
\.{N}	Ṅ
\.{O}	Ȯ
\.{P}	Ṗ
\.{R}	Ṙ
\.{S}	Ṡ
\.{T}	Ṫ
\.{W}	Ẇ
\.{X}	Ẋ
\.{Y}	Ẏ
\.{Z}	Ż
\.{a}	ȧ
\.{b}	ḃ
\.{c}	ċ
\.{d}	ḋ
\.{e}	ė
\.{f}	ḟ
\.{g}	ġ
\.{h}	ḣ
\.{m}	ṁ
\.{n}	ṅ
\.{o}	ȯ
\.{p}	ṗ
\.{r}	ṙ
\.{s}	ṡ
\.{t}	ṫ
\.{w}	ẇ
\.{x}	ẋ
\.{y}	ẏ
\.{z}	ż
\=A	Ā
\=E	Ē
\=G	Ḡ
\=I	Ī
\=O	Ō
\=U	Ū
\=Y	Ȳ
\=a	ā
\=e	ē
\=g	ḡ
\=i	ī
\=o	ō
\=u	ū
\=y	ȳ
\={A}	Ā
\={E}	Ē
\={G}	Ḡ
\={I}	Ī
\={O}	Ō
\={U}	Ū
\={Y}	Ȳ
\={a}	ā
\={e}	ē
\={g}	ḡ
\={i}	ī
\={o}	ō
\={u}	ū
\={y}	ȳ
\AA	Å
\AE	Æ
\^A	Â
\^C	Ĉ
\^E	Ê
\^G	Ĝ
\^H	Ĥ
\^I	Î
\^J	Ĵ
\^O	Ô
\^S	Ŝ
\^U	Û
\^W	Ŵ
\^Y	Ŷ
\^Z	Ẑ
\^a	â
\^c	ĉ
\^e	ê
\^g	ĝ
\^h	ĥ
\^i	î
\^j	ĵ
\^o	ô
\^s	ŝ
\^u	û
\^w	ŵ
\^y	ŷ
\^z	ẑ
\^{A}	Â
\^{C}	Ĉ
\^{E}	Ê
\^{G}	Ĝ
\^{H}	Ĥ
\^{I}	Î
\^{J}	Ĵ
\^{O}	Ô
\^{S}	Ŝ
\^{U}	Û
\^{W}	Ŵ
\^{Y}	Ŷ
\^{Z}	Ẑ
\^{a}	â
\^{c}	ĉ
\^{e}	ê
\^{g}	ĝ
\^{h}	ĥ
\^{i}	î
\^{j}	ĵ
\^{o}	ô
\^{s}	ŝ
\^{u}	û
\^{w}	ŵ
\^{y}	ŷ
\^{z}	ẑ
\`A	À
\`E	È
\`I	Ì
\`N	Ǹ
\`O	Ò
\`U	Ù
\`W	Ẁ
\`Y	Ỳ
\`a	à
\`e	è
\`i	ì
\`n	ǹ
\`o	ò
\`u	ù
\`w	ẁ
\`y	ỳ
\`{A}	À
\`{E}	È
\`{I}	Ì
\`{O}	Ò
\`{U}	Ù
\`{W}	Ẁ
\`{Y}	Ỳ
\`{a}	à
\`{e}	è
\`{i}	ì
\`{n}	ǹ
\`{o}	ò
\`{u}	ù
\`{w}	ẁ
\`{y}	ỳ
\aa	å
\acute{A}	Á
\acute{C}	Ć
\acute{E}	É
\acute{G}	Ǵ
\acute{I}	Í
\acute{K}	Ḱ
\acute{L}	Ĺ
\acute{M}	Ḿ
\acute{N}	Ń
\acute{O}	Ó
\acute{P}	Ṕ
\acute{R}	Ŕ
\acute{S}	Ś
\acute{U}	Ú
\acute{W}	Ẃ
\acute{Y}	Ý
\acute{Z}	Ź
\acute{a}	á
\acute{c}	ć
\acute{e}	é
\acute{g}	ǵ
\acute{i}	í
\acute{k}	ḱ
\acute{l}	ĺ
\acute{m}	ḿ
\acute{n}	ń
\acute{o}	ó
\acute{p}	ṕ
\acute{r}	ŕ
\acute{s}	ś
\acute{u}	ú
\acute{w}	ẃ
\acute{y}	ý
\acute{z}	ź
\ae	æ
\bar{A}	Ā
\bar{E}	Ē
\bar{G}	Ḡ
\bar{I}	Ī
\bar{O}	Ō
\bar{U}	Ū
\bar{Y}	Ȳ
\bar{a}	ā
\bar{e}	ē
\bar{g}	ḡ
\bar{i}	ī
\bar{o}	ō
\bar{u}	ū
\bar{y}	ȳ
\breve{A}	Ă
\breve{E}	Ĕ
\breve{G}	Ğ
\breve{I}	Ĭ
\breve{O}	Ŏ
\breve{U}	Ŭ
\breve{a}	ă
\breve{e}	ĕ
\breve{g}	ğ
\breve{i}	ĭ
\breve{o}	ŏ
\breve{u}	ŭ
\check{A}	Ǎ
\check{C}	Č
\check{D}	Ď
\check{E}	Ě
\check{N}	Ň
\check{R}	Ř
\check{S}	Š
\check{T}	Ť
\check{Z}	Ž
\check{a}	ǎ
\check{c}	č
\check{d}	ď
\check{e}	ě
\check{n}	ň
\check{r}	ř
\check{s}	š
\check{t}	ť
\check{z}	ž
\c{C}	Ç
\c{c}	ç
\ddot{A}	Ä
\ddot{E}	Ë
\ddot{H}	Ḧ
\ddot{I}	Ï
\ddot{O}	Ö
\ddot{U}	Ü
\ddot{W}	Ẅ
\ddot{X}	Ẍ
\ddot{Y}	Ÿ
\ddot{a}	ä
\ddot{e}	ë
\ddot{h}	ḧ
\ddot{i}	ï
\ddot{o}	ö
\ddot{t}	ẗ
\ddot{u}	ü
\ddot{w}	ẅ
\ddot{x}	ẍ
\ddot{y}	ÿ
\degree	°
\dot{A}	Ȧ
\dot{B}	Ḃ
\dot{C}	Ċ
\dot{D}	Ḋ
\dot{E}	Ė
\dot{F}	Ḟ
\dot{G}	Ġ
\dot{H}	Ḣ
\dot{I}	İ
\dot{M}	Ṁ
\dot{N}	Ṅ
\dot{O}	Ȯ
\dot{P}	Ṗ
\dot{R}	Ṙ
\dot{S}	Ṡ
\dot{T}	Ṫ
\dot{W}	Ẇ
\dot{X}	Ẋ
\dot{Y}	Ẏ
\dot{Z}	Ż
\dot{a}	ȧ
\dot{b}	ḃ
\dot{c}	ċ
\dot{d}	ḋ
\dot{e}	ė
\dot{f}	ḟ
\dot{g}	ġ
\dot{h}	ḣ
\dot{m}	ṁ
\dot{n}	ṅ
\dot{o}	ȯ
\dot{p}	ṗ
\dot{r}	ṙ
\dot{s}	ṡ
\dot{t}	ṫ
\dot{w}	ẇ
\dot{x}	ẋ
\dot{y}	ẏ
\dot{z}	ż
\d{A}	Ạ
\d{B}	Ḅ
\d{D}	Ḍ
\d{E}	Ẹ
\d{H}	Ḥ
\d{I}	Ị
\d{K}	Ḳ
\d{L}	Ḷ
\d{M}	Ṃ
\d{N}	Ṇ
\d{O}	Ọ
\d{R}	Ṛ
\d{S}	Ṣ
\d{T}	Ṭ
\d{U}	Ụ
\d{V}	Ṿ
\d{W}	Ẉ
\d{Y}	Ỵ
\d{Z}	Ẓ
\d{a}	ạ
\d{b}	ḅ
\d{d}	ḍ
\d{e}	ẹ
\d{h}	ḥ
\d{i}	ị
\d{k}	ḳ
\d{l}	ḷ
\d{m}	ṃ
\d{n}	ṇ
\d{o}	ọ
\d{r}	ṛ
\d{s}	ṣ
\d{t}	ṭ
\d{u}	ụ
\d{v}	ṿ
\d{w}	ẉ
\d{y}	ỵ
\d{z}	ẓ
\grave{A}	À
\grave{E}	È
\grave{I}	Ì
\grave{O}	Ò
\grave{U}	Ù
\grave{W}	Ẁ
\grave{Y}	Ỳ
\grave{a}	à
\grave{e}	è
\grave{i}	ì
\grave{n}	ǹ
\grave{o}	ò
\grave{u}	ù
\grave{w}	ẁ
\grave{y}	ỳ
\hat{A}	Â
\hat{C}	Ĉ
\hat{E}	Ê
\hat{G}	Ĝ
\hat{H}	Ĥ
\hat{I}	Î
\hat{J}	Ĵ
\hat{O}	Ô
\hat{S}	Ŝ
\hat{U}	Û
\hat{W}	Ŵ
\hat{Y}	Ŷ
\hat{Z}	Ẑ
\hat{a}	â
\hat{c}	ĉ
\hat{e}	ê
\hat{g}	ĝ
\hat{h}	ĥ
\hat{i}	î
\hat{j}	ĵ
\hat{o}	ô
\hat{s}	ŝ
\hat{u}	û
\hat{w}	ŵ
\hat{y}	ŷ
\hat{z}	ẑ
\tilde{A}	Ā
\tilde{E}	Ẽ
\tilde{I}	Ĩ
\tilde{N}	Ñ
\tilde{O}	Õ
\tilde{U}	Ũ
\tilde{Y}	Ỹ
\tilde{a}	ã
\tilde{e}	ẽ
\tilde{i}	ĩ
\tilde{n}	ñ
\tilde{o}	õ
\tilde{u}	ũ
\tilde{y}	ỹ
\trademark	™
\u{A}	Ă
\u{E}	Ĕ
\u{G}	Ğ
\u{I}	Ĭ
\u{O}	Ŏ
\u{U}	Ŭ
\u{a}	ă
\u{e}	ĕ
\u{g}	ğ
\u{i}	ĭ
\u{o}	ŏ
\u{u}	ŭ
\v{A}	Ǎ
\v{C}	Č
\v{D}	Ď
\v{E}	Ě
\v{N}	Ň
\v{R}	Ř
\v{S}	Š
\v{T}	Ť
\v{Z}	Ž
\v{a}	ǎ
\v{c}	č
\v{d}	ď
\v{e}	ě
\v{n}	ň
\v{r}	ř
\v{s}	š
\v{t}	ť
\v{z}	ž
\~A	Ā
\~E	Ẽ
\~I	Ĩ
\~N	Ñ
\~O	Õ
\~U	Ũ
\~Y	Ỹ
\~a	ã
\~e	ẽ
\~i	ĩ
\~n	ñ
\~o	õ
\~u	ũ
\~y	ỹ
\~{A}	Ā
\~{E}	Ẽ
\~{I}	Ĩ
\~{N}	Ñ
\~{O}	Õ
\~{U}	Ũ
\~{Y}	Ỹ
\~{a}	ã
\~{e}	ẽ
\~{i}	ĩ
\~{n}	ñ
\~{o}	õ
\~{u}	ũ
\~{y}	ỹ
{\AA}	Å
{\AE}	Æ
{\OE}	Œ
{\aa}	å
{\ae}	æ
{\dh}	ð
{\l}	ł
{\oe}	œ
{\th}	þ
\alpha	α
\Alpha	Α
\beta	β
\Beta	Β
\gamma	γ
\Gamma	Γ
\delta	δ
\Delta	Δ
\epsilon	ϵ
\Epsilon	Ε
\zeta	ζ
\Zeta	Ζ
\eta	η
\Eta	Η
\theta	θ
\Theta	Θ
\kappa	κ
\Kappa	Κ
\lambda	λ
\Lambda	Λ
\mu	μ
\Mu	Μ
\nu	ν
\Nu	Ν
\xi	ξ
\Xi	Ξ
\omicron	ο
\Omicron	Ο
\pi	π
\Pi	Π
\rho	ρ
\Rho	Ρ
\sigma	σ
\Sigma	Σ
\tau	τ
\Tau	Τ
\upsilon	υ
\Upsilon	Υ
\phi	ϕ
\Phi	Φ
\chi	χ
\Chi	Χ
\psi	ψ
\Psi	Ψ
\omega	ω
\Omega	Ω
\varepsilon	ε
\varkappa	ϰ
\varphi	φ
\varpi	ϖ
\varrho	ϱ
\varsigma	ς
\vartheta	ϑ
